iteration,train_loss,val_loss,lr,elapsed_s
10,0.003490,,4.000000e-07,4.3
20,0.013714,,8.000000e-07,7.2
30,0.006913,,1.200000e-06,9.8
40,0.000248,,1.600000e-06,12.5
50,0.008984,,2.000000e-06,15.0
60,0.004697,,2.400000e-06,17.6
70,0.004758,,2.800000e-06,20.1
80,0.007562,,3.200000e-06,22.7
90,0.000860,,3.600000e-06,25.2
100,0.005854,,4.000000e-06,28.0
100,,0.005891,4.000000e-06,48.8
110,0.009791,,4.400000e-06,51.5
120,0.005044,,4.800000e-06,53.7
130,0.006550,,5.200000e-06,56.1
140,0.001753,,5.600000e-06,58.5
150,0.001562,,6.000000e-06,60.7
160,0.019518,,6.400000e-06,63.3
170,0.005509,,6.800000e-06,65.6
180,0.000790,,7.200000e-06,67.9
190,0.001540,,7.600000e-06,70.1
200,0.000575,,8.000000e-06,72.9
200,,0.002659,8.000000e-06,90.8
210,0.006789,,8.400000e-06,92.9
220,0.001036,,8.800000e-06,94.5
230,0.000717,,9.200000e-06,96.3
240,0.001479,,9.600000e-06,98.5
250,0.001224,,1.000000e-05,101.1
260,0.000363,,1.040000e-05,103.3
270,0.000732,,1.080000e-05,105.6
280,0.005193,,1.120000e-05,108.0
290,0.001573,,1.160000e-05,110.3
300,0.000179,,1.200000e-05,112.6
300,,0.001710,1.200000e-05,130.6
310,0.000511,,1.240000e-05,132.9
320,0.000297,,1.280000e-05,134.9
330,0.002960,,1.320000e-05,137.4
340,0.003320,,1.360000e-05,140.0
350,0.005665,,1.400000e-05,142.1
360,0.000290,,1.440000e-05,144.5
370,0.001423,,1.480000e-05,146.6
380,0.000706,,1.520000e-05,149.0
390,0.000238,,1.560000e-05,151.1
400,0.001218,,1.600000e-05,153.3
400,,0.001353,1.600000e-05,171.5
410,0.001646,,1.640000e-05,173.9
420,0.001280,,1.680000e-05,176.3
430,0.000568,,1.720000e-05,178.4
440,0.000956,,1.760000e-05,180.9
450,0.000685,,1.800000e-05,183.3
460,0.000759,,1.840000e-05,185.5
470,0.002851,,1.880000e-05,187.7
480,0.000311,,1.920000e-05,189.9
490,0.000347,,1.960000e-05,191.9
500,0.001674,,2.000000e-05,194.1
500,,0.001152,2.000000e-05,212.6
