group,stratum,covered,n_pixels,coverage,ci_low,ci_high,ci_width
A,global,60990290,68366624,0.8921062125284993,0.892032647106169,0.8921797447467447,0.00014709764057563302
A,lesion,1617406,1981221,0.8163682900595138,0.8158284391934603,0.8169072160062473,0.0010787768127870079
A,lesion::seq=AXFLAIR,616902,688549,0.8959449509040025,0.8952213629656809,0.8966652057053593,0.0014438427396784581
A,lesion::seq=AXT1,606025,835846,0.7250438477901432,0.7240852794269387,0.7260008563332361,0.0019155769062974004
A,lesion::seq=AXT1POST,394479,456826,0.863521340729293,0.8625224400117171,0.8645156284297812,0.0019931884180641735
A,lesion::carga_baixa,40357,46388,0.8699879279123911,0.8668934767585993,0.8730359954801119,0.006142518721512613
A,lesion::carga_media,265377,297459,0.8921464806914566,0.8910262469881929,0.8932590679221013,0.0022328209339084193
A,lesion::carga_alta,1311672,1637374,0.8010827092649572,0.800470438344001,0.801693915063012,0.0012234767190110185
B,global,59908442,68366624,0.8762819998249438,0.8762039281062052,0.8763600396798547,0.0001561115736494756
B,lesion,1441672,1981221,0.7276684428440845,0.7270479926419253,0.7282882274994609,0.0012402348575355493
B,lesion::seq=AXFLAIR,532643,688549,0.7735731226100103,0.7725827042219211,0.7745612388399976,0.0019785346180765107
B,lesion::seq=AXT1,511385,835846,0.611817248631925,0.6107715106876808,0.6128622116041454,0.002090700916464683
B,lesion::seq=AXT1POST,397644,456826,0.8704495803653908,0.8694723493642904,0.8714221102787982,0.0019497609145078254
B,lesion::carga_baixa,36745,46388,0.792122962835216,0.7884012511367897,0.79580808156544,0.007406830428650313
B,lesion::carga_media,236879,297459,0.7963416807022144,0.7948898935319026,0.797787692147464,0.0028977986155613866
B,lesion::carga_alta,1168048,1637374,0.713366646838169,0.7126733463301984,0.7140591925899459,0.0013858462597474697
C,global,59965697,68366624,0.8771194698746569,0.8770416255708193,0.8771972822437376,0.00015565667291828067
C,lesion,1460289,1981221,0.7370651734460719,0.736451577483368,0.7376780763881892,0.0012264989048211827
C,lesion::seq=AXFLAIR,531957,688549,0.7725768245978136,0.7715848761450633,0.773566479279916,0.0019816031348526275
C,lesion::seq=AXT1,530453,835846,0.6346300634327376,0.6335966864463181,0.6356625073297801,0.0020658208834620773
C,lesion::seq=AXT1POST,397879,456826,0.8709639994220995,0.8699884132890978,0.8719348779274418,0.0019464646383440254
C,lesion::carga_baixa,36816,46388,0.7936535310856256,0.7899417895419267,0.797328487546727,0.007386698004800296
C,lesion::carga_media,236847,297459,0.7962341028511493,0.7947820323339475,0.7976803997417342,0.002898367407786706
C,lesion::carga_alta,1186626,1637374,0.7247128634020084,0.7240280129787526,0.7253969189275828,0.0013689059488302124
