metric,pair,n_pairs,delta_mean,ci_low,ci_high,rank_biserial,cohen_dz
coverage_global,A-B,736,0.017010880107788937,0.011800432407447974,0.022511218279436536,0.2042357383045248,0.22771389182107352
coverage_lesion,A-B,362,0.08503897438721103,0.07605709228564296,0.09453278578072769,0.7979522811098697,0.9341130365089731
mean_width_global,A-B,736,-0.0045448578856176845,-0.005117045558754605,-0.0038867195173060286,-0.7076057459736889,-0.5338554704551864
mean_width_lesion,A-B,362,0.0038226858933986217,0.0026351552696627415,0.005071544449730317,0.2394259014048065,0.319864641045896
iou_topk_global,A-B,736,0.0034971254749855884,0.0031295774119283765,0.0038831247008658436,0.6782080913993649,0.6699074598633646
iou_topk_lesion,A-B,362,0.0035730766379280274,-0.005199207196039791,0.012623855305340114,0.13770965012690986,0.04101393059985887
ulas_lesion,A-B,362,-0.02119333037684636,-0.02406370351931856,-0.01844058157357848,-0.8161118974780451,-0.7678758837877379
coverage_global,A-C,736,0.016268884317706463,0.011098329262093967,0.021621123548476614,0.2033618960533302,0.22264542292975645
coverage_lesion,A-C,362,0.08284917111554857,0.07395692790362692,0.09226658750967741,0.7948313215722687,0.9201126189862071
mean_width_global,A-C,736,-0.0048192945023006585,-0.005353602424688267,-0.004221354100826146,-0.7128561736770692,-0.6096493439138349
mean_width_lesion,A-C,362,0.0031619380789073147,0.0020154765336389394,0.004421912440969941,0.17282315875987397,0.2694050595103763
iou_topk_global,A-C,736,0.005692416733148646,0.005254920797933883,0.00615838329526051,0.852850038544674,0.924141500528296
iou_topk_lesion,A-C,362,0.007540157624132722,0.002615030704438719,0.01806103592399405,0.22114535221221068,0.11287217068126579
ulas_lesion,A-C,362,-0.024209053476871047,-0.02759134741669775,-0.020980760992319266,-0.8218650594341202,-0.7546192278023747
coverage_global,B-C,736,-0.0007419957900824759,-0.0011405009758427035,-0.00046665788868920874,-0.18432053184359273,-0.16101155484646498
coverage_lesion,B-C,362,-0.0021898032716624644,-0.0031367226039981334,-0.00139333732049035,-0.23176182237600923,-0.2617591643987517
mean_width_global,B-C,736,-0.00027443661668297403,-0.000368554051103412,-0.0001904733401168956,-0.39532328476196094,-0.22191745954550102
mean_width_lesion,B-C,362,-0.0006607478144913073,-0.0009179564446157287,-0.0004199050095537003,-0.33120253260886107,-0.2748426035238643
iou_topk_global,B-C,736,0.002195291258163057,0.001899890943445401,0.002513330885121768,0.5573975818442376,0.5192255422059788
iou_topk_lesion,B-C,362,0.003967080986204694,-0.00032491475329810406,0.014482423472053958,0.10560017364879531,0.06397988031058953
ulas_lesion,B-C,362,-0.003015723100024692,-0.004685057770096476,-0.001377128121993696,-0.3240491301767043,-0.18733337325674362
